item,text_a,text_b,is_duplicate,note
A014,"রোমান্সের অংশ হালকা, দর্শককে বিরক্ত করে না।","রোমান্স অংশ হালকা, দর্শককে বিরক্ত করে না।",,
A015,সিনেমার সংলাপ খুব প্রাণবন্ত।,সিনেমার সংলাপ খুব প্রাঞ্জল।,,
A016,মুভি টা অসম্ভব সুন্দর,অসম্ভব সুন্দর একটা মুভি,,
A017,ছবিটা খুব ভালো হইছে,ছবিটা অনেক সুন্দর,,
A018,"সিনেমাটা দেখতে খারাপ লাগেনি, তবে খুব একটা চমকও ছিল না।","সিনেমাটা দেখতে খারাপ ছিল না, তবে বিশেষ কিছু মনে হয়নি।",,
A019,চরিত্রগুলোর আবেগ দর্শকের কাছে পৌঁছায়নি।,চরিত্রগুলোর আবেগ দর্শককে স্পর্শ করতে ব্যর্থ।,,
A020,"সিনেমার ভিজ্যুয়াল ভালো, প্রোডাকশন মান ঠিকঠাক। গল্প বোঝা সহজ, বিশেষ কোনো চমক নেই। মিউজিক সাধারণ, অভিনয় ঠিক আছে।","সিনেমার প্রোডাকশন মান ভালো, ভিজ্যুয়াল ঠিক আছে। গল্প সাধারণ, মিউজিক ঠিকঠাক।",,
A021,"সামগ্রিকভাবে সিনেমা না ভালো না খারাপ—একবার দেখার মতো, সম্পূর্ণ নিরপেক্ষ অভিজ্ঞতা।","সামগ্রিকভাবে সিনেমা একবার দেখার মতো, না ভালো না খারাপ—সম্পূর্ণ নিরপেক্ষ অভিজ্ঞতা।",,
A022,"সিনেমা পুরোপুরি হালকা, না খুব গভীর, মাঝারি মানের একটি অভিজ্ঞতা।","সিনেমা হালকা, না গভীর, মাঝারি মানের অভিজ্ঞতা।",,
A023,"গল্পে নতুনত্ব নেই, তবে দেখার সময় সমস্যা হয়নি। সংলাপ ও চরিত্র ঠিক আছে, মিউজিক গল্পের সঙ্গে মানানসই।","গল্পে নতুনত্ব নেই, তবে দেখতে সমস্যা নেই। অভিনয় এবং সংলাপ ঠিক আছে।",,
A024,সিনেমার শুরু বা শেষের কোনো বড়ো চমক নেই।,সিনেমার শুরু বা শেষের কোনো বড় চমক নেই।,,
A025,"সিনেমা দেখে সময় কেটেছে, বেশি কিছু মনে থাকে না।","সিনেমা দেখতে দেখতে সময় কেটে গেছে, বিশেষ কিছু মনে হয়নি।",,
A026,"সিনেমার সময়কাল একটু বেশি লেগেছে, তবে সহ্য করা গেছে।","সিনেমার সময়কাল কিছুটা বেশি, তবে সহনীয়।",,
A027,"সিনেমার গল্প মোটামুটি সাধারণ ছিল। শুরুতে কিছুটা মনোযোগ ধরে রাখলেও মাঝের অংশে টেম্পো ধীর মনে হলো। কিছু চরিত্র ভালোভাবে উপস্থাপিত হয়েছে, কিন্তু অন্যদের বিকাশ সীমিত। ভিজ্যুয়াল এবং প্রোডাকশন মান ঠিকঠাক, কোন চমকপ্রদ এলিমেন্ট ছিল না। মিউজিক বা ব্যাকগ্রাউন্ড স্কোর গল্পের সঙ্গে মানানসই ছিল, তবে খুব বেশি প্রভাব ফেলেনি। সংলাপগুলো স্বাভাবিক, কিন্তু বিশেষ কিছু মনে রাখার মতো ছিল না। সিনেমার বার্তা পরিষ্কার, তবে নতুনত্বের অভাব রয়েছে। মোটকথা, সিনেমা দেখার সময় বিশেষ অসুবিধা ছিল না, তবে একবার দেখার পর খুব বেশি মনে থাকার মতো কিছু নেই।","সিনেমার কাহিনী মোটামুটি সাধারণ, মাঝের অংশে কিছুটা ধীর মনে হয়েছে। চরিত্রের বিকাশ কিছুটা সীমিত, কিছু চরিত্রের উপস্থিতি গল্পে তেমন প্রভাব ফেলেনি। অভিনয় ঠিকঠাক, কোনো দৃশ্য বিশেষভাবে মনে থাকেনি। ভিজ্যুয়াল এবং প্রোডাকশন মান ঠিক আছে, তবে চমকপ্রদ কিছু নেই। সংলাপ সাধারণ, গল্পের সঙ্গে মানানসই। মিউজিক এবং ব্যাকগ্রাউন্ড স্কোর ঠিক আছে, কোনো অতিরিক্ত আবেগ তৈরি করেনি। সিনেমার বার্তা পরিষ্কার, তবে নতুনত্ব কম। মোটকথা, সিনেমা দেখার সময় বিশেষ সমস্যা হয়নি, কিন্তু আবার দেখার ইচ্ছা খুব বেশি জাগেনি।",,
A028,সিনেমার শেষটা একটু তাড়াহুড়ো মনে হয়েছে।,সিনেমার শেষটা কিছুটা তাড়াহুড়ো মনে হয়েছে।,,
A029,সিনেমার সংলাপগুলো খুব প্রাঞ্জল ও মজাদার।,সিনেমার সংলাপ খুব প্রাঞ্জল ও প্রাণবন্ত।,,
A030,সিনেমা দেখে মনটা ভালো হয়ে গেল।,মুভিটা দেখার পর মনটাই ভালো হয়ে গেল।,,
A031,সিনেমার লাইটিং এবং সেট ডিজাইন চোখ ধাঁধাঁয়ানো।,সিনেমার সেট ডিজাইন এবং লাইটিং একেবারে হতাশাজনক।,,
A032,চরিত্রের অভিনয় খুব প্রাকৃতিক ও প্রাণবন্ত।,চরিত্রগুলোর অভিনয় প্রাকৃতিক ও প্রাণবন্ত।,,
A033,"সিনেমার ভাষা সহজবোধ্য ছিল, জটিল শব্দ তেমন ব্যবহার করা হয়নি।","সিনেমার ভাষা সহজবোধ্য ছিল, বেশি জটিল মনে হয়নি।",,
A034,সংলাপগুলো প্রায়শই বাজে এবং অসংলগ্ন।,সংলাপগুলো অসংলগ্ন এবং প্রায়ই বাজে।,,
A035,"সিনেমার শুরুটা ভালো, শেষটা একটু তাড়াহুড়ো মনে হয়েছে।","সিনেমার শুরু ভালো ছিল, কিন্তু শেষে কিছুটা দ্রুত শেষ হয়ে যায়।",,
A036,সিনেমার চিত্রনাট্য একেবারে গড়পড়তা ছিল।,সিনেমার চিত্রনাট্য খুব নিরপেক্ষ ছিল।,,
A037,"সিনেমার মধ্যে বাস্তবতার ছোঁয়া ছিল, তবে খুব গভীর কিছু ছিল না।","সিনেমার গল্পে বাস্তবতা ছিল, কিন্তু গভীরতা কম।",,
A038,"গল্পের বার্তা বোঝা সহজ, দর্শক কোনো জটিলতা অনুভব করে না।","গল্পের প্রধান বার্তা সরল এবং বোঝা সহজ, দর্শক কোনো জটিলতা অনুভব করে না।",,
